title,refs,facts,url
"Le ""droit à la déconnexion"" devrait être un droit fondamental, selon les députés","[""2019/2181(INL)""]","[""La culture de la \""connexion permanente\"" entra\u00eene un risque accru de d\u00e9pression, d\u2019anxi\u00e9t\u00e9 et de burnout"", ""La l\u00e9gislation europ\u00e9enne d\u00e9finit des exigences minimales pour le travail \u00e0 distance"", ""Aucune r\u00e9percussion pour les travailleurs qui exercent leur \""droit \u00e0 la d\u00e9connexion\""""]",https://www.europarl.europa.eu/news/fr/press-room/20210114IPR95618/le-droit-a-la-deconnexion-devrait-etre-un-droit-fondamental-selon-les-deputes
Finance verte: le PE adopte des critères pour les investissements durables,"[""2018/0178(COD)""]","[""De nouvelles r\u00e8gles pour pr\u00e9venir l\u2019\""\u00e9co-blanchiment\"" et encourager les investissements verts"", ""Les r\u00e8gles devraient contribuer \u00e0 atteindre l'objectif d'une Europe neutre en carbone"", ""Mandat \u00e0 la Commission europ\u00e9enne pour d\u00e9finir les activit\u00e9s nuisibles \u00e0 l'environnement""]",https://www.europarl.europa.eu/news/fr/press-room/20200615IPR81229/finance-verte-le-pe-adopte-des-criteres-pour-les-investissements-durables
Un salaire minimum pour réduire les inégalités et la pauvreté des travailleurs,"[""2019/2188(INI)""]","[""Le salaire minimum doit \u00eatre relev\u00e9 au-dessus du seuil de pauvret\u00e9"", ""Le droit du travail et les dispositions en mati\u00e8re de s\u00e9curit\u00e9 sociale doivent \u00e9galement couvrir les travailleurs des plateformes"", ""Les femmes sont plus expos\u00e9es au risque de pauvret\u00e9 que les hommes""]",https://www.europarl.europa.eu/news/fr/press-room/20210204IPR97115/un-salaire-minimum-pour-reduire-les-inegalites-et-la-pauvrete-des-travailleurs
Une agence de l’UE pour l’asile pour soutenir les régimes nationaux d’asile,"[""2016/0131(COD)""]","[""Une agence pour l\u2019asile modernis\u00e9e, aux pouvoirs op\u00e9rationnels et techniques accrus"", ""Un officier aux droits fondamentaux responsable d\u2019un nouveau m\u00e9canisme de plainte"", ""Un vivier d\u2019au moins 500 experts nationaux en mati\u00e8re d\u2019asile pr\u00eats \u00e0 \u00eatre d\u00e9ploy\u00e9s""]",https://www.europarl.europa.eu/news/fr/press-room/20211108IPR16843/une-agence-de-l-ue-pour-l-asile-pour-soutenir-les-regimes-nationaux-d-asile
COVID-19: appel à une réponse plus unifiée de l’UE,"[""2020/2610(RSP)""]","[""687 d\u00e9put\u00e9s ont particip\u00e9 au premier vote de cette pl\u00e9ni\u00e8re extraordinaire sur les mesures d\u2019urgence relatives au COVID-19"", ""Ils ont appel\u00e9 \u00e0 une solidarit\u00e9 renforc\u00e9e entre \u00c9tats membres pour relever ce d\u00e9fi"", ""Les mesures \u00e0 long terme de l\u2019UE doivent att\u00e9nuer l\u2019impact \u00e9conomique et permettre d\u2019investir plus dans la recherche""]",https://www.europarl.europa.eu/news/fr/press-room/20200325IPR75812/covid-19-appel-a-une-reponse-plus-unifiee-de-l-ue
Approbation du budget de l’UE pour 2022: investir plus pour une relance forte,"[""2021/0227(BUD)""]","[""Pr\u00e8s de 480 millions d\u2019euros en plus de la proposition de la Commission pour des priorit\u00e9s cl\u00e9s telles que la sant\u00e9, la jeunesse et l\u2019action climatique"", ""Des fonds suppl\u00e9mentaires pour acc\u00e9l\u00e9rer la vaccination mondiale"", ""Plus important budget annuel jamais adopt\u00e9, avec 169,5 milliards d\u2019euros de budget g\u00e9n\u00e9ral et environ 143,5 milliards d\u2019euros du plan de relance""]",https://www.europarl.europa.eu/news/fr/press-room/20211118IPR17624/approbation-du-budget-de-l-ue-pour-2022-investir-plus-pour-une-relance-forte
"5,4 milliards pour des projets liés au climat et à l'environnement","[""2018/0209(COD)""]","[""LIFE est le programme europ\u00e9en sur le climat et l'environnement le plus ambitieux jamais mis en place"", ""Priorit\u00e9 aux projets le plus susceptibles d\u2019\u00eatre reproduits avec succ\u00e8s"", ""L'am\u00e9lioration de la biodiversit\u00e9 est un objectif cl\u00e9; le financement doit faire l\u2019objet d\u2019un suivi"", ""Le programme contribue \u00e0 la r\u00e9alisation d'une \u00e9conomie \u00e0 faible \u00e9mission de carbone et r\u00e9siliente au changement climatique""]",https://www.europarl.europa.eu/news/fr/press-room/20210422IPR02614/5-4-milliards-pour-des-projets-lies-au-climat-et-a-l-environnement
"Pandora Papers: le PE demande des enquêtes, des sanctions et de nouvelles lois","[""2021/2922(RSP)""]","[""La Commission doit engager des actions en justice \u00e0 l\u2019encontre des \u00c9tats membres qui n\u2019appliquent pas les r\u00e8gles de l\u2019UE"", ""La liste noire des paradis fiscaux de l\u2019Union n\u2019est pas adapt\u00e9e \u00e0 l\u2019objectif poursuivi"", ""Il faut r\u00e9glementer les syst\u00e8mes d\u2019octroi de la citoyennet\u00e9 ou de permis de s\u00e9jour""]",https://www.europarl.europa.eu/news/fr/press-room/20211014IPR14912/pandora-papers-le-pe-demande-des-enquetes-des-sanctions-et-de-nouvelles-lois
Opération militaire en Syrie: appel à des sanctions contre la Turquie,"[""2019/2886(RSP)""]","[""Au moins 300 000 personnes d\u00e9plac\u00e9es suite \u00e0 l\u2019offensive turque"", ""Crainte que Daech se r\u00e9organise"", ""Utilisation inacceptable des r\u00e9fugi\u00e9s par le Pr\u00e9sident turc pour faire chanter l\u2019UE"", ""Appel \u00e0 une zone de s\u00e9curit\u00e9 sous contr\u00f4le de l\u2019ONU au nord de la Syrie""]",https://www.europarl.europa.eu/news/fr/press-room/20191017IPR64569/operation-militaire-en-syrie-appel-a-des-sanctions-contre-la-turquie
L’UE doit intensifier ses efforts pour combattre les pénuries de médicaments,"[""2020/2071(INI)""]","[""Accro\u00eetre la fabrication de produits pharmaceutiques en Europe"", ""Cr\u00e9er une pharmacie europ\u00e9enne d'urgence"", ""40% des m\u00e9dicaments commercialis\u00e9s dans l'UE proviennent de pays tiers""]",https://www.europarl.europa.eu/news/fr/press-room/20200910IPR86823/l-ue-doit-intensifier-ses-efforts-pour-combattre-les-penuries-de-medicaments
"Ukraine: une aide directe de 3,4 milliards euros pour aider les réfugiés ","[""2022/0096(COD)""]","[""Un acc\u00e8s plus rapide aux ressources de REACT-EU pour les gouvernements de l'UE"", ""Les pays de l'UE qui enregistrent le plus grand nombre de r\u00e9fugi\u00e9s ukrainiens recevront sans attendre 45% des fonds pour la relance""]",https://www.europarl.europa.eu/news/fr/press-room/20220401IPR26538/ukraine-une-aide-directe-de-3-4-milliards-euros-pour-aider-les-refugies
Eurojust: le pouvoir de soutenir des enquêtes sur les crimes de guerre,"[""2022/0130(COD)""]","[""L\u2019agence bas\u00e9e \u00e0 La Haye pourra d\u00e9sormais stocker des preuves en toute s\u00e9curit\u00e9 et soutenir des enqu\u00eates"", ""De nouvelles possibilit\u00e9s de coop\u00e9ration avec la Cour p\u00e9nale internationale""]",https://www.europarl.europa.eu/news/fr/press-room/20220517IPR29935/eurojust-le-pouvoir-de-soutenir-des-enquetes-sur-les-crimes-de-guerre
Le Parlement soutient le pacte vert européen mais veut encore plus d’ambition,"[""2019/2956(RSP)""]","[""Les d\u00e9put\u00e9s saluent le fait que le plan vise la neutralit\u00e9 carbone d\u2019ici 2050"", ""Pour y parvenir, il faut accro\u00eetre l\u2019objectif de r\u00e9duction des \u00e9missions d\u2019ici 2030 \u00e0 55%"", ""Le PE est en faveur d\u2019un plan d\u2019investissement durable ambitieux pour parvenir au pacte vert""]",https://www.europarl.europa.eu/news/fr/press-room/20200109IPR69902/le-parlement-soutient-le-pacte-vert-europeen-mais-veut-encore-plus-d-ambition
"Le Parlement approuve un prêt de 1,2 milliard d’euros à l’Ukraine","[""2022/0026(COD)""]","[""Un pr\u00eat de 1,2 milliard d\u2019euros pour couvrir le d\u00e9ficit de financement ext\u00e9rieur caus\u00e9 par la crise aigu\u00eb"", ""La premi\u00e8re tranche vers\u00e9e imm\u00e9diatement, si certaines conditions sont remplies""]",https://www.europarl.europa.eu/news/fr/press-room/20220211IPR23122/le-parlement-approuve-un-pret-de-1-2-milliard-d-euros-a-l-ukraine
Les députés demandent de renforcer la stratégie de l’UE pour vaincre le cancer,"[""2020/2267(INI)""]","[""Des mesures suppl\u00e9mentaires n\u00e9cessaires pour s\u2019attaquer aux facteurs de risque li\u00e9s au mode de vie et au travail"", ""Un meilleur acc\u00e8s aux soins de sant\u00e9 transfrontaliers et aux essais cliniques pour les patients atteints d\u2019un cancer"", ""Une gestion plus efficace des p\u00e9nuries de m\u00e9dicaments contre le cancer""]",https://www.europarl.europa.eu/news/fr/press-room/20220210IPR23006/les-deputes-demandent-de-renforcer-la-strategie-de-l-ue-pour-vaincre-le-cancer
Faillite de Thomas Cook: l’UE devrait aider les licenciés et les entreprises,"[""2019/2854(RSP)""]","[""\u00c0 l\u2019avenir, n\u00e9cessit\u00e9 de mieux prot\u00e9ger les consommateurs et les employ\u00e9s"", ""La Commission devrait \u00e9valuer si de nouvelles mesures sont n\u00e9cessaires pour pr\u00e9venir de futures crises"", ""Une strat\u00e9gie en mati\u00e8re de tourisme est n\u00e9cessaire pour stimuler un secteur qui joue un r\u00f4le moteur pour d\u2019autres pans de l\u2019\u00e9conomie""]",https://www.europarl.europa.eu/news/fr/press-room/20191017IPR64571/faillite-de-thomas-cook-l-ue-devrait-aider-les-licencies-et-les-entreprises
Substances dangereuses au travail: vers des règles européennes plus strictes,"[""2020/0262(COD)""]","[""Pour la premi\u00e8re fois, les substances reprotoxiques sont soumises \u00e0 des niveaux d\u2019exposition maximaux contraignants"", ""Des limites d\u2019exposition pour l\u2019acrylonitrile et les compos\u00e9s du nickel; abaissement des limites pour le benz\u00e8ne"", ""Une meilleure formation des travailleurs du secteur de la sant\u00e9 sur la manipulation des m\u00e9dicaments dangereux""]",https://www.europarl.europa.eu/news/fr/press-room/20220210IPR23021/substances-dangereuses-au-travail-vers-des-regles-europeennes-plus-strictes
Liaison transmanche: des règles pour garantir la sécurité et la coopération,"[""2020/0160(COD)"", ""2020/0161(COD)""]","[""La s\u00e9curit\u00e9 ferroviaire de la Manche doit \u00eatre maintenue par le Royaume-Uni et la France"", ""La France devra n\u00e9gocier des r\u00e8gles communes applicables au tunnel sous la Manche""]",https://www.europarl.europa.eu/news/fr/press-room/20201002IPR88446/liaison-transmanche-des-regles-pour-garantir-la-securite-et-la-cooperation
Produits dangereux: le Parlement souhaite mieux protéger les consommateurs,"[""2019/2190(INI)""]","[""Les r\u00e8gles de s\u00e9curit\u00e9 relatives aux produits de l\u2019UE et les droits des consommateurs doivent \u00eatre respect\u00e9s"", ""Le tra\u00e7age et le rappel des produits dangereux doivent \u00eatre am\u00e9lior\u00e9s"", ""Les plateformes et les places de march\u00e9 en ligne doivent \u00eatre plus responsables pour garantir que les produits soient s\u00fbrs"", ""La s\u00e9curit\u00e9 est essentielle pour les produits int\u00e9grant de l\u2019intelligence artificielle""]",https://www.europarl.europa.eu/news/fr/press-room/20201120IPR92127/produits-dangereux-le-parlement-souhaite-mieux-proteger-les-consommateurs
Renforcer le mandat de l’Agence européenne des médicaments,"[""2020/0321(COD)""]","[""Mieux \u00e9quiper l\u2019UE pour g\u00e9rer les futures crises sanitaires"", ""Une nouvelle base de donn\u00e9es europ\u00e9enne pour surveiller et avertir en cas de p\u00e9nurie de m\u00e9dicaments"", ""Coordination et transparence accrues pour les essais cliniques""]",https://www.europarl.europa.eu/news/fr/press-room/20210701IPR07513/renforcer-le-mandat-de-l-agence-europeenne-des-medicaments
Brexit: les députés inquiets pour les droits des citoyens,"[""2020/2505(RSP)""]","[""Craintes concernant le dispositif d\u2019obtention du statut de r\u00e9sident permanent destin\u00e9 aux citoyens europ\u00e9ens qui vivent au Royaume-Uni et la mise en place de l\u2019autorit\u00e9 ind\u00e9pendante"", ""Libre circulation, dur\u00e9e de la p\u00e9riode de transition et limitation des atteintes \u00e0 la vie des citoyens au c\u0153ur du d\u00e9bat""]",https://www.europarl.europa.eu/news/fr/press-room/20200109IPR69901/brexit-les-deputes-inquiets-pour-les-droits-des-citoyens
Brexit: l’accord de retrait approuvé par le Parlement européen,"[""2018/0427(NLE)""]","[""L\u2019accord de retrait a pass\u00e9 l\u2019avant-derni\u00e8re \u00e9tape avant son entr\u00e9e en vigueur"", ""Un vote \u00e0 la majorit\u00e9 qualifi\u00e9e au Conseil n\u00e9cessaire pour clore la proc\u00e9dure"", ""Le Brexit devrait avoir lieu le 31 janvier 2020""]",https://www.europarl.europa.eu/news/fr/press-room/20200128IPR71204/brexit-l-accord-de-retrait-approuve-par-le-parlement-europeen
Une législation nécessaire pour mettre fin à la déforestation mondiale,"[""2020/2006(INL)""]","[""La consommation de l'UE repr\u00e9sente environ 10% de la d\u00e9forestation mondiale"", ""Les initiatives volontaires n'ont pas r\u00e9ussi \u00e0 stopper la d\u00e9forestation"", ""Il convient de mettre en place des obligations de tra\u00e7abilit\u00e9 pour les op\u00e9rateurs sur le march\u00e9 de l'UE"", ""Depuis 1990, des for\u00eats repr\u00e9sentant une superficie sup\u00e9rieure \u00e0 celle de l'Afrique du Sud ont disparu""]",https://www.europarl.europa.eu/news/fr/press-room/20201016IPR89560/une-legislation-necessaire-pour-mettre-fin-a-la-deforestation-mondiale
Les députés adoptent les règles de devoir de vigilance des entreprises,[null],"[""Les r\u00e8gles concernent les entreprises de l\u2019UE et de pays tiers ainsi que les soci\u00e9t\u00e9s-m\u00e8res r\u00e9alisant un chiffre d\u2019affaires sup\u00e9rieur \u00e0 450 millions d\u2019euros"", ""Les entreprises doivent \u00e9laborer un plan de transition conforme \u00e0 l\u2019Accord de Paris"", ""Elles seront responsables des dommages et pourront \u00eatre condamn\u00e9es \u00e0 des amendes en cas de non-respect des r\u00e8gles""]",https://www.europarl.europa.eu/news/fr/press-room/20240419IPR20585/les-deputes-adoptent-les-regles-de-devoir-de-vigilance-des-entreprises
Le Parlement adopte les cartes d’invalidité et de stationnement européennes,"[""2023/0311(COD)"", ""2023/0393(COD)""]","[""\u00c9galit\u00e9 d\u2019acc\u00e8s aux conditions pr\u00e9f\u00e9rentielles pour les personnes handicap\u00e9es, comme l\u2019acc\u00e8s prioritaire et le stationnement r\u00e9serv\u00e9"", ""La carte europ\u00e9enne d\u2019invalidit\u00e9 sera d\u00e9livr\u00e9e et renouvel\u00e9e gratuitement"", ""Les personnes qui s\u2019installent temporairement dans un autre pays europ\u00e9en pour \u00e9tudier pourront \u00e9galement b\u00e9n\u00e9ficier des nouvelles mesures""]",https://www.europarl.europa.eu/news/fr/press-room/20240419IPR20572/le-parlement-adopte-les-cartes-d-invalidite-et-de-stationnement-europeennes
Non au greenwashing et aux informations trompeuses sur les produits,"[""2022/0092(COD)""]","[""Les mentions environnementales g\u00e9n\u00e9riques et autres arguments commerciaux trompeurs seront interdits"", ""Seules les mentions de durabilit\u00e9 bas\u00e9es sur une certification approuv\u00e9e ou \u00e9tablies par les autorit\u00e9s publiques seront autoris\u00e9es"", ""Les informations de garantie devront \u00eatre plus visibles et un nouveau label d\u2019extension de garantie sera introduit""]",https://www.europarl.europa.eu/news/fr/press-room/20240112IPR16772/non-au-greenwashing-et-aux-informations-trompeuses-sur-les-produits
Feu vert pour la facilité pour la reprise et la résilience,"[""2020/0104(COD)""]","[""Le pilier principal du plan de relance Next Generation EU"", ""672,5 milliards d\u2019euros sous forme de pr\u00eats et de subventions pour att\u00e9nuer les effets de la pand\u00e9mie"", ""Les fonds iront aux domaines d\u2019action cl\u00e9s tels que la transition \u00e9cologique, la transformation num\u00e9rique, la pr\u00e9paration aux crises, les enfants et les jeunes"", ""Le respect de l\u2019\u00c9tat de droit et des valeurs fondamentales de l\u2019UE est une condition pr\u00e9alable \u00e0 l\u2019obtention d\u2019un financement""]",https://www.europarl.europa.eu/news/fr/press-room/20210204IPR97105/feu-vert-pour-la-facilite-pour-la-reprise-et-la-resilience
État de droit: la Commission doit agir sans plus attendre,"[""2022/2535(RSP)""]","[""Il est \""grand temps\"" pour la Commission de prot\u00e9ger le budget de l'UE des violations faites \u00e0 l'\u00c9tat de droit"", ""La r\u00e9glementation europ\u00e9enne devrait \u00eatre mise en \u0153uvre sans tenir compte des agendas \u00e9lectoraux des \u00c9tats membres"", ""Le m\u00e9canisme de conditionnalit\u00e9 li\u00e9e \u00e0 l'\u00c9tat de droit devrait \u00e9galement couvrir les fonds du plan de relance NextGenerationEU""]",https://www.europarl.europa.eu/news/fr/press-room/20220304IPR24802/etat-de-droit-la-commission-doit-agir-sans-plus-attendre
Réduire l’utilisation des pesticides pour sauver les abeilles,"[""2019/2803(RSP)""]","[""L\u2019initiative europ\u00e9enne pour les pollinisateurs visant \u00e0 sauver les abeilles, les papillons et d\u2019autres insectes n\u2019est pas suffisante"", ""Un programme et des mesures plus cibl\u00e9s sont n\u00e9cessaires pour prot\u00e9ger les pollinisateurs"", ""Appel \u00e0 des objectifs de r\u00e9duction contraignants quant \u00e0 l\u2019utilisation des pesticides""]",https://www.europarl.europa.eu/news/fr/press-room/20191212IPR68921/reduire-l-utilisation-des-pesticides-pour-sauver-les-abeilles
Les citoyens au cœur de la Conférence sur l’avenir de l’Europe,"[""2019/2990(RSP)""]","[""Des agoras th\u00e9matiques pour impliquer les citoyens de tous horizons et de toute l\u2019Europe"", ""Lancer une r\u00e9forme de l\u2019UE via une approche ascendante, transparente, inclusive, participative et \u00e9quilibr\u00e9e"", ""Permettre une modification du trait\u00e9 et mettre en place un m\u00e9canisme permanent de participation citoyenne""]",https://www.europarl.europa.eu/news/fr/press-room/20200109IPR69906/les-citoyens-au-coeur-de-la-conference-sur-l-avenir-de-l-europe
Le PE souhaite que l’industrie maritime contribue à la neutralité climatique,"[""2019/0017(COD)""]","[""Le Parlement en faveur d\u2019une r\u00e9duction de CO2 de 40% d\u2019ici 2030"", ""Le transport maritime doit \u00eatre inclus dans le syst\u00e8me d\u2019\u00e9change de quotas d\u2019\u00e9mission de l\u2019UE (SEQE-UE)"", ""Un \u2018\u2018Fonds pour les oc\u00e9ans\u2019\u2019 pour contribuer \u00e0 la protection des \u00e9cosyst\u00e8mes marins""]",https://www.europarl.europa.eu/news/fr/press-room/20200910IPR86825/le-pe-souhaite-que-l-industrie-maritime-contribue-a-la-neutralite-climatique
COVID-19: des règles plus souples pour encourager les prêts bancaires,"[""2020/0066(COD)""]","[""Assouplissement temporaire et cibl\u00e9 des r\u00e8gles prudentielles pour les banques europ\u00e9ennes"", ""Les banques et superviseurs sur un pied d\u2019\u00e9galit\u00e9 et le syst\u00e8me bancaire reste stable"", ""Att\u00e9nuer les cons\u00e9quences \u00e9conomiques profondes de la pand\u00e9mie""]",https://www.europarl.europa.eu/news/fr/press-room/20200615IPR81234/covid-19-des-regles-plus-souples-pour-encourager-les-prets-bancaires
Énergie: aligner les projets prioritaires sur les objectifs climatiques 2050,"[""2020/2549(RSP)""]","[""La l\u00e9gislation sur les r\u00e9seaux transeurop\u00e9ens d\u2019\u00e9nergie doit \u00eatre r\u00e9vis\u00e9e cette ann\u00e9e"", ""Les d\u00e9put\u00e9s donnent un premier avis sur la future proposition"", ""Le vote fait suite \u00e0 un d\u00e9bat en pl\u00e9ni\u00e8re sur la 4e liste de projets d\u2019int\u00e9r\u00eat commun (PIC)""]",https://www.europarl.europa.eu/news/fr/press-room/20200706IPR82725/energie-aligner-les-projets-prioritaires-sur-les-objectifs-climatiques-2050
Renforcer les aides aux agriculteurs via le Fonds pour le développement rural,"[""2020/0075(COD)""]","[""Jusqu\u2019\u00e0 7 000 euros par agriculteur, et 50 000 par PME du secteur agroalimentaire"", ""Montant forfaitaire payable d\u2019ici au 30 juin 2020; les demandes doivent \u00eatre approuv\u00e9es au plus tard le 31 d\u00e9cembre 2020"", ""Le plafond de l\u2019aide relev\u00e9 \u00e0 2% des enveloppes des programmes pour le d\u00e9veloppement rural""]",https://www.europarl.europa.eu/news/fr/press-room/20200615IPR81231/renforcer-les-aides-aux-agriculteurs-via-le-fonds-pour-le-developpement-rural
De nombreux défis restent à relever pour parvenir à l’égalité des genres,"[""2021/2509(RSP)""]","[""La pand\u00e9mie de COVID-19 exacerbe les in\u00e9galit\u00e9s existantes entre les femmes et les hommes"", ""Il faut lutter de fa\u00e7on urgente contre la hausse des violences domestiques"", ""Un acc\u00e8s universel aux services li\u00e9s \u00e0 la sant\u00e9 et aux droits sexuels et g\u00e9n\u00e9siques doit \u00eatre garanti""]",https://www.europarl.europa.eu/news/fr/press-room/20210204IPR97121/de-nombreux-defis-restent-a-relever-pour-parvenir-a-l-egalite-des-genres
Le Parlement permettra un développement accéléré des vaccins contre le COVID-19,"[""2020/0128(COD)""]","[""L'acc\u00e9l\u00e9ration de la mise au point de vaccins est essentielle pour enrayer la pand\u00e9mie"", ""Il faut plus de flexibilit\u00e9 pour les chercheurs afin d'acc\u00e9l\u00e9rer les essais cliniques"", ""La s\u00e9curit\u00e9 des futurs vaccins contre le COVID-19 ne doit pas \u00eatre compromise""]",https://www.europarl.europa.eu/news/fr/press-room/20200706IPR82731/le-parlement-permettra-un-developpement-accelere-des-vaccins-contre-le-covid-19
"Une politique agricole européenne plus verte, plus juste et plus solide ","[""2018/0216(COD)"", ""2018/0218(COD)"", ""2018/0217(COD)""]","[""Davantage de soutien pour ceux qui ont recours \u00e0 des pratiques respectueuses du climat et de l\u2019environnement"", ""Plafonnement des paiements directs annuels \u00e0 100 000 euros, un soutien accru aux PME"", ""Des mesures personnalis\u00e9es pour aider les agriculteurs \u00e0 faire face aux crises"", ""Des sanctions plus s\u00e9v\u00e8res en cas d\u2019infractions r\u00e9p\u00e9t\u00e9es, par exemple en mati\u00e8re d\u2019environnement ou de bien-\u00eatre animal""]",https://www.europarl.europa.eu/news/fr/press-room/20201016IPR89542/une-politique-agricole-europeenne-plus-verte-plus-juste-et-plus-solide
